messages_sent,num_periods,depth,avg_children,num_leaves,type,num_nodes
10.168103448275861,5,29,1.89,132,0,232
12.711864406779661,5,43,1.7678571428571428,124,0,236
12.804166666666667,5,49,1.6456692913385826,113,0,240
12.885245901639344,5,30,1.6299212598425197,117,0,244
11.798387096774194,5,24,1.9306930693069306,147,0,248
12.607142857142858,5,37,1.8608695652173912,137,0,252
12.66796875,5,37,1.7916666666666667,136,0,256
8.5,4,2,1.5,2,1,4
9.25,4,4,1.75,4,1,8
9.25,4,4,2.2,7,1,12
9.1875,4,3,2.5,10,1,16
9.75,4,4,2.2857142857142856,13,1,20
9.625,4,7,2.5,16,1,24
9.321428571428571,4,3,3.0,20,1,28
9.71875,4,7,2.230769230769231,19,1,32
9.472222222222221,4,11,2.3333333333333335,21,1,36
9.625,4,10,2.4,25,1,40
9.568181818181818,4,9,2.5,28,1,44
9.4375,4,11,2.75,32,1,48
10.134615384615385,5,9,2.611111111111111,34,1,52
9.642857142857142,4,9,2.5789473684210527,37,1,56
11.066666666666666,5,9,2.3333333333333335,36,1,60
9.765625,5,11,2.32,39,1,64
9.926470588235293,5,17,2.3333333333333335,41,1,68
9.944444444444445,5,15,2.3214285714285716,44,1,72
13.302631578947368,6,9,2.576923076923077,50,1,76
11.3625,5,11,2.642857142857143,52,1,80
9.726190476190476,5,12,2.5161290322580645,53,1,84
9.806818181818182,5,12,2.5625,56,1,88
10.608695652173912,5,14,2.4242424242424243,59,1,92
11.020833333333334,5,13,2.3421052631578947,58,1,96
10.51,5,13,2.8125,68,1,100
10.625,5,14,2.611111111111111,68,1,104
10.537037037037036,5,12,2.4285714285714284,66,1,108
10.9375,5,20,2.6842105263157894,74,1,112
11.629310344827585,5,17,2.477272727272727,72,1,116
10.025,5,18,2.7,80,1,120
10.709677419354838,5,11,2.4468085106382977,77,1,124
10.5,5,15,2.902439024390244,87,1,128
10.636363636363637,5,16,2.4693877551020407,83,1,132
11.816176470588236,5,29,2.358490566037736,83,1,136
11.707142857142857,5,17,2.480769230769231,88,1,140
11.82638888888889,5,19,2.5686274509803924,93,1,144
10.527027027027026,5,19,2.4363636363636365,93,1,148
11.697368421052632,5,21,2.5535714285714284,96,1,152
10.205128205128204,5,17,2.685185185185185,102,1,156
11.925,5,27,2.365079365079365,97,1,160
10.670731707317072,5,27,2.6785714285714284,108,1,164
11.726190476190476,5,13,2.736842105263158,111,1,168
10.5,5,19,2.46875,108,1,172
11.738636363636363,5,23,2.5873015873015874,113,1,176
11.911111111111111,5,21,2.449275362318841,111,1,180
11.923913043478262,5,21,2.5538461538461537,119,1,184
11.75531914893617,5,27,2.582089552238806,121,1,188
9.916666666666666,5,21,2.707692307692308,127,1,192
15.46938775510204,7,17,2.4722222222222223,124,1,196
11.34,5,22,2.5277777777777777,128,1,200
10.852941176470589,5,21,2.4358974358974357,126,1,204
13.692307692307692,7,20,2.704225352112676,137,1,208
11.910377358490566,5,18,2.5866666666666664,137,1,212
11.546296296296296,5,24,2.4216867469879517,133,1,216
12.50909090909091,6,34,2.5949367088607596,141,1,220
11.348214285714286,5,24,2.5875,144,1,224
10.605263157894736,5,20,2.5609756097560976,146,1,228
11.10344827586207,5,25,2.7088607594936707,153,1,232
11.055084745762711,6,19,2.619047619047619,152,1,236
11.366666666666667,6,36,2.6506024096385543,157,1,240
12.081967213114755,6,32,2.602272727272727,156,1,244
10.97983870967742,5,19,2.550561797752809,159,1,248
12.380952380952381,6,31,2.5795454545454546,164,1,252
10.65234375,5,29,2.602272727272727,168,1,256
8.0,4,1,3.0,3,2,4
8.5,4,2,3.5,6,2,8
9.0,5,3,3.6666666666666665,9,2,12
8.75,4,2,4.666666666666667,13,2,16
8.8,4,4,3.8,15,2,20
8.666666666666666,4,5,4.6,19,2,24
8.964285714285714,5,5,3.857142857142857,21,2,28
8.9375,5,5,3.875,24,2,32
8.88888888888889,4,7,4.25,28,2,36
8.875,4,6,4.222222222222222,31,2,40
8.954545454545455,5,7,4.3,34,2,44
8.916666666666666,4,6,4.181818181818182,37,2,48
8.846153846153847,4,6,4.545454545454546,41,2,52
9.678571428571429,5,7,4.416666666666667,44,2,56
10.533333333333333,5,9,4.384615384615385,47,2,60
9.421875,5,6,4.357142857142857,50,2,64
9.485294117647058,5,10,4.4,53,2,68
9.680555555555555,5,10,4.117647058823529,55,2,72
9.368421052631579,5,8,4.111111111111111,58,2,76
10.45,5,8,4.470588235294118,63,2,80
10.011904761904763,5,9,4.444444444444445,66,2,84
10.613636363636363,5,10,3.9545454545454546,66,2,88
10.673913043478262,5,9,4.238095238095238,71,2,92
10.072916666666666,5,10,4.2272727272727275,74,2,96
9.32,5,12,4.260869565217392,77,2,100
10.221153846153847,5,12,4.391304347826087,81,2,104
10.796296296296296,5,11,4.333333333333333,84,2,108
10.0,5,10,4.074074074074074,85,2,112
10.362068965517242,5,10,4.56,91,2,116
9.916666666666666,5,11,4.461538461538462,94,2,120
10.241935483870968,5,8,4.321428571428571,96,2,124
10.9375,5,10,3.96875,96,2,128
10.704545454545455,5,13,4.161290322580645,101,2,132
10.183823529411764,5,18,4.607142857142857,108,2,136
9.85,5,16,4.28125,108,2,140
9.902777777777779,5,12,4.205882352941177,110,2,144
9.993243243243244,5,12,4.055555555555555,112,2,148
9.072368421052632,5,16,3.973684210526316,114,2,152
10.89102564102564,5,16,4.6875,124,2,156
9.99375,5,15,4.243243243243243,123,2,160
9.701219512195122,5,9,4.153846153846154,125,2,164
10.904761904761905,5,18,4.315789473684211,130,2,168
10.645348837209303,6,15,4.25,132,2,172
10.363636363636363,6,12,3.977272727272727,132,2,176
10.727777777777778,5,17,4.4,140,2,180
10.23913043478261,5,14,4.285714285714286,142,2,184
10.24468085106383,5,19,4.439024390243903,147,2,188
10.604166666666666,5,10,4.222222222222222,147,2,192
10.270408163265307,5,21,4.173913043478261,150,2,196
10.57,5,13,4.104166666666667,152,2,200
11.264705882352942,6,18,4.166666666666667,156,2,204
11.052884615384615,5,18,4.163265306122449,159,2,208
11.047169811320755,5,16,4.291666666666667,164,2,212
11.041666666666666,5,20,4.037735849056604,163,2,216
11.472727272727273,6,15,4.3,170,2,220
10.450892857142858,5,14,4.230769230769231,172,2,224
10.675438596491228,5,16,4.333333333333333,177,2,228
11.099137931034482,5,21,4.203703703703703,178,2,232
10.995762711864407,6,20,4.277777777777778,182,2,236
10.35,5,20,4.415094339622642,187,2,240
10.442622950819672,5,18,4.388888888888889,190,2,244
10.89516129032258,6,17,4.5,194,2,248
10.527777777777779,5,14,4.081967213114754,191,2,252
11.09375,6,27,4.183333333333334,196,2,256
8.0,4,1,3.0,3,0,4
9.375,4,3,1.6666666666666667,5,0,8
9.666666666666666,4,6,1.6666666666666667,6,0,12
9.875,4,7,1.625,8,0,16
10.05,4,10,1.6,10,0,20
10.416666666666666,4,11,1.4,9,0,24
11.535714285714286,5,13,1.5,12,0,28
10.09375,5,7,1.75,16,0,32
11.11111111111111,5,10,1.8823529411764706,19,0,36
10.35,4,17,1.5454545454545454,18,0,40
10.159090909090908,4,10,1.7142857142857142,23,0,44
10.0,4,18,1.8636363636363635,26,0,48
11.98076923076923,5,21,1.7037037037037037,25,0,52
10.321428571428571,5,9,1.7826086956521738,33,0,56
10.133333333333333,4,11,1.88,35,0,60
10.578125,5,21,1.6764705882352942,30,0,64
11.852941176470589,5,19,1.6764705882352942,34,0,68
11.097222222222221,5,16,1.71875,40,0,72
11.210526315789474,5,18,1.5526315789473684,38,0,76
12.2625,5,24,1.7837837837837838,43,0,80
10.238095238095237,5,18,1.7619047619047619,42,0,84
10.590909090909092,5,18,1.9428571428571428,53,0,88
11.097826086956522,5,16,1.744186046511628,49,0,92
12.145833333333334,5,17,1.975609756097561,55,0,96
12.2,5,23,1.9069767441860466,57,0,100
10.682692307692308,5,16,1.9333333333333333,59,0,104
14.648148148148149,7,20,1.9183673469387754,59,0,108
11.714285714285714,5,20,1.8297872340425532,65,0,112
12.439655172413794,5,22,1.7543859649122806,59,0,116
12.258333333333333,5,31,1.8181818181818181,65,0,120
11.451612903225806,5,20,1.7627118644067796,65,0,124
11.8203125,5,21,1.7384615384615385,63,0,128
11.159090909090908,5,17,1.875,76,0,132
11.963235294117647,6,24,1.7424242424242424,70,0,136
11.3,5,37,1.7605633802816902,69,0,140
11.069444444444445,5,32,1.5384615384615385,66,0,144
12.425675675675675,5,29,1.9508196721311475,87,0,148
10.921052631578947,5,17,1.9365079365079365,89,0,152
12.621794871794872,5,20,1.726027397260274,83,0,156
12.7125,5,26,1.7848101265822784,81,0,160
12.152439024390244,5,44,1.625,76,0,164
12.255952380952381,5,29,1.6136363636363635,80,0,168
12.976744186046512,6,20,1.7402597402597402,95,0,172
12.522727272727273,5,26,1.9452054794520548,103,0,176
12.677777777777777,5,25,1.7738095238095237,96,0,180
12.625,5,26,1.7083333333333333,88,0,184
12.702127659574469,5,18,1.8148148148148149,107,0,188
12.489583333333334,5,32,1.896551724137931,105,0,192
12.540816326530612,5,25,1.8777777777777778,106,0,196
12.635,5,30,1.8666666666666667,110,0,200
12.754901960784315,5,28,1.7708333333333333,108,0,204
12.826923076923077,5,40,1.683168316831683,107,0,208
12.764150943396226,5,41,1.688073394495413,103,0,212
12.74537037037037,5,35,1.8020833333333333,120,0,216
12.604545454545455,5,22,1.8514851485148516,119,0,220
11.919642857142858,6,29,1.7920792079207921,123,0,224
12.710526315789474,5,20,1.7735849056603774,122,0,228
12.818965517241379,5,35,1.709090909090909,122,0,232
12.838983050847459,5,44,1.7522935779816513,127,0,236
12.579166666666667,5,34,1.897196261682243,133,0,240
12.602459016393443,5,23,1.864864864864865,133,0,244
